Log start on,2019-05-21 23:29:42
Feature,Gyroscope
Nodes,AM1V340 @374730, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps),
21/05/2019 23:29:49.239,6292,AM1V340 @374730,111572,F0FF07000700,-1.6,0.7,0.7,
21/05/2019 23:29:49.292,6345,AM1V340 @374730,111579,F1FF07000700,-1.5,0.7,0.7,
21/05/2019 23:29:49.349,6402,AM1V340 @374730,111585,F1FF07000700,-1.5,0.7,0.7,
21/05/2019 23:29:49.386,6439,AM1V340 @374730,111591,F1FF07000600,-1.5,0.7,0.6,
21/05/2019 23:29:49.462,6515,AM1V340 @374730,111597,F0FF07000700,-1.6,0.7,0.7,
21/05/2019 23:29:49.499,6552,AM1V340 @374730,111604,F0FF07000600,-1.6,0.7,0.6,
21/05/2019 23:29:49.536,6589,AM1V340 @374730,111610,F1FF07000700,-1.5,0.7,0.7,
21/05/2019 23:29:49.592,6645,AM1V340 @374730,111616,F0FF07000600,-1.6,0.7,0.6,
21/05/2019 23:29:49.649,6702,AM1V340 @374730,111622,F1FF07000700,-1.5,0.7,0.7,
21/05/2019 23:29:49.687,6740,AM1V340 @374730,111629,F0FF07000600,-1.6,0.7,0.6,
21/05/2019 23:29:49.742,6795,AM1V340 @374730,111635,F0FF07000600,-1.6,0.7,0.6,
21/05/2019 23:29:49.799,6852,AM1V340 @374730,111641,F0FF07000700,-1.6,0.7,0.7,
21/05/2019 23:29:49.838,6891,AM1V340 @374730,111647,F1FF07000700,-1.5,0.7,0.7,
21/05/2019 23:29:49.892,6945,AM1V340 @374730,111654,F0FF07000600,-1.6,0.7,0.6,
21/05/2019 23:29:49.949,7002,AM1V340 @374730,111660,F0FF07000700,-1.6,0.7,0.7,
21/05/2019 23:29:49.986,7039,AM1V340 @374730,111666,F1FF07000600,-1.5,0.7,0.6,
21/05/2019 23:29:50.043,7096,AM1V340 @374730,111672,F0FF07000700,-1.6,0.7,0.7,
21/05/2019 23:29:50.099,7152,AM1V340 @374730,111679,F0FF07000700,-1.6,0.7,0.7,
21/05/2019 23:29:50.136,7189,AM1V340 @374730,111685,F0FF08000700,-1.6,0.8,0.7,
21/05/2019 23:29:50.193,7246,AM1V340 @374730,111691,F0FF07000700,-1.6,0.7,0.7,
21/05/2019 23:29:50.250,7303,AM1V340 @374730,111697,F0FF08000700,-1.6,0.8,0.7,
21/05/2019 23:29:50.287,7340,AM1V340 @374730,111704,F0FF08000700,-1.6,0.8,0.7,
21/05/2019 23:29:50.343,7396,AM1V340 @374730,111710,F0FF07000700,-1.6,0.7,0.7,
21/05/2019 23:29:50.400,7453,AM1V340 @374730,111716,F0FF08000600,-1.6,0.8,0.6,
21/05/2019 23:29:50.437,7490,AM1V340 @374730,111722,F1FF08000600,-1.5,0.8,0.6,
21/05/2019 23:29:50.493,7546,AM1V340 @374730,111729,F1FF07000700,-1.5,0.7,0.7,
21/05/2019 23:29:50.549,7602,AM1V340 @374730,111735,F0FF08000600,-1.6,0.8,0.6,
21/05/2019 23:29:50.587,7640,AM1V340 @374730,111741,F0FF08000600,-1.6,0.8,0.6,
21/05/2019 23:29:50.643,7696,AM1V340 @374730,111747,F0FF07000700,-1.6,0.7,0.7,
21/05/2019 23:29:50.700,7753,AM1V340 @374730,111754,F0FF08000700,-1.6,0.8,0.7,
21/05/2019 23:29:50.756,7809,AM1V340 @374730,111760,F0FF07000700,-1.6,0.7,0.7,
21/05/2019 23:29:50.793,7846,AM1V340 @374730,111766,F0FF08000700,-1.6,0.8,0.7,
21/05/2019 23:29:50.850,7902,AM1V340 @374730,111772,F0FF07000700,-1.6,0.7,0.7,
21/05/2019 23:29:50.889,7942,AM1V340 @374730,111779,F0FF08000700,-1.6,0.8,0.7,
21/05/2019 23:29:50.943,7996,AM1V340 @374730,111785,F0FF08000700,-1.6,0.8,0.7,
21/05/2019 23:29:51.000,8053,AM1V340 @374730,111791,F0FF08000600,-1.6,0.8,0.6,
21/05/2019 23:29:51.037,8090,AM1V340 @374730,111797,F0FF08000600,-1.6,0.8,0.6,
21/05/2019 23:29:51.093,8146,AM1V340 @374730,111804,F0FF08000700,-1.6,0.8,0.7,
21/05/2019 23:29:51.150,8203,AM1V340 @374730,111810,F0FF08000700,-1.6,0.8,0.7,
21/05/2019 23:29:51.206,8259,AM1V340 @374730,111816,F0FF08000700,-1.6,0.8,0.7,
21/05/2019 23:29:51.243,8296,AM1V340 @374730,111822,F0FF08000700,-1.6,0.8,0.7,
21/05/2019 23:29:51.300,8353,AM1V340 @374730,111829,F0FF08000700,-1.6,0.8,0.7,
